"","ID","fundBakers","fundUSDRate","fundUSDPledged","creator","city","state","isStaffpick","categoryParent","categoryChild","fundUSDGoal","fundLength","descriptionLength","hasVideo","amountFAQ","amountUpdates","amountComments","amountImages","amountGifs","amountVideos","amountRewards","lowestReward","url","name","blurb","fundState","fundGoal","fundPledged","country","fundCurrency","fundCurrencySymbol","fundEnd","fundStart"
"86",122042817,54,1,3349,"Get to Know Me LLC","New York","NY",FALSE,"games","playing cards",3000,35,551,TRUE,0,6,7,2,0,0,4,15,"https://www.kickstarter.com/projects/gettoknowme/get-to-know-me?ref=category","Get to Know Me| Naughty Vs. Nice","A question card game with 2 decks, 1 Naughty and 1 Nice. Decks can be played separately or mixed. Exciting way to know your player(s).",TRUE,3000,3349,"US","USD","$",2018-05-12,2018-04-07
"87",124811292,91,1,1468,"Manly Arts","Los Angeles","CA",FALSE,"games","playing cards",10000,31,723,FALSE,0,2,22,13,0,0,9,5,"https://www.kickstarter.com/projects/culvercitycards/the-deck-of-manly-arts-playing-cards?ref=category","The Deck of Manly Arts Playing Cards","Celebrate the art of being a man with this burly deck of playing cards inspired by the men in your lives.",FALSE,10000,1468,"US","USD","$",2014-08-25,2014-07-25
"88",127814664,55,1,1794,"Alexander Liss","Indianapolis","IN",FALSE,"games","playing cards",1500,30,571,TRUE,0,19,16,13,0,0,12,10,"https://www.kickstarter.com/projects/609584552/mechanical-courts-playing-cards-limited-run?ref=category","Mechanical Courts Playing Cards Limited run.","Back with another playing card project. See what type of growth I achieved with almost a year of preparation.",TRUE,1500,1794,"US","USD","$",2015-06-06,2015-05-07
"90",130447281,120,0.7671612,4502.4690828,"One Widow Playing Cards","Vancouver","BC",FALSE,"games","playing cards",9205.9344,33,1107,TRUE,2,7,10,38,0,2,14,1,"https://www.kickstarter.com/projects/onewidow/triple-vision-playing-cards?ref=category","Triple Vision Playing Cards","Playing cards with a retro comic book style design for cardists, magicians, card collectors and game lovers. Printed by USPCC",FALSE,12000,5869,"CA","CAD","$",2015-11-16,2015-10-14
"92",133048307,625,1,13141,"Gwebs","Tucson","AZ",FALSE,"games","playing cards",3000,30,882,TRUE,1,27,35,17,1,0,10,1,"https://www.kickstarter.com/projects/gunwebsites/ak47-identification-playing-cards?ref=category","AK47 Identification / Playing Cards","Reminiscent of Aircraft ID cards, Kalashnikov Recognition Cards for the multitude of Cold War AK Rifles",TRUE,3000,13141,"US","USD","$",2015-09-01,2015-08-02
"93",134618552,23,1,840,"Faye Klein","Venetia","PA",FALSE,"games","playing cards",5000,30,582,TRUE,0,2,0,3,0,0,2,25,"https://www.kickstarter.com/projects/184473241/the-final-word?ref=category","The Final Word","The Final Word is an expandable collection of cool, clever, and challenging games for all who love word play, in a single deck of cards",FALSE,5000,840,"US","USD","$",2017-09-21,2017-08-22
"94",134819094,241,1,10400,"Vadim Smolenskiy","Baltimore","MD",FALSE,"games","playing cards",10000,30,442,FALSE,0,18,52,16,0,0,6,15,"https://www.kickstarter.com/projects/674054954/eminence-playing-cards?ref=category","EMINENCE Playing Cards","Two beautiful decks of playing cards that feature full embossing, 54 custom cards and metallic inks. Available in gold or platinum.",TRUE,10000,10400,"US","USD","$",2015-10-23,2015-09-23
"95",135445126,144,1,5454.12,"Robinson Wood","San Jose","CA",FALSE,"games","playing cards",1080,21,487,TRUE,0,12,16,3,0,0,10,5,"https://www.kickstarter.com/projects/273464514/the-royal-wilds-playing-card-deck?ref=category","The Royal Wilds playing card deck","Hand-drawn playing cards—jokers, aces, and face cards loaded with symbolism specific to suit and rank!",TRUE,1080,5454.12,"US","USD","$",2018-01-21,2017-12-31
"96",135658761,255,1,5563,"Roman Kotiv","Glendale","CA",FALSE,"games","playing cards",3000,25,503,FALSE,0,12,39,23,1,0,8,1,"https://www.kickstarter.com/projects/891191024/branle-playing-cards-by-noirarts-npcc?ref=category","Branle Playing Cards by NoirArts (NPCC)","Dive into the history and culture of XVI-XVII centuries with gorgeous, one of a kind hand drawn Branle deck!",TRUE,3000,5563,"US","USD","$",2015-06-22,2015-05-28
"97",136241111,56,1,1374,"Karla Pruitt","Athens","GA",FALSE,"games","playing cards",1000,16,520,FALSE,0,4,4,13,0,0,2,15,"https://www.kickstarter.com/projects/740854974/woodland-playing-cards?ref=category","Woodland Playing Cards","Original hand-drawn illustrations featuring a king stag, queen bear, jack rabbit and a joker squirrel with merry plaid backs.",TRUE,1000,1374,"US","USD","$",2015-11-27,2015-11-11
